epoch,accuracy,loss,val_accuracy,val_loss
8,0.62763536,2159.319092,0.617202401,2155.42627
9,0.633064806,2154.000977,0.617553711,2152.130615
0,0.556024194,2057.939697,0.674565315,1743.022705
1,0.554526091,2057.892334,0.674524605,1742.401123
2,0.554474533,2056.638184,0.674408615,1741.779053
3,0.555644393,2054.251953,0.674059391,1741.188232
4,0.557961047,2050.869385,0.673325598,1740.692017
5,0.561273873,2046.668335,0.671916366,1740.363037
6,0.565659583,2041.847412,0.669081628,1740.27478
7,0.571062565,2036.613647,0.663790584,1740.489624
8,0.577311218,2031.165283,0.661019564,1741.043579
9,0.584318697,2025.676025,0.658529997,1741.947876
0,0.719282389,1831.136475,0.594313562,1784.688232
1,0.717211246,1826.908447,0.593174934,1786.459717
2,0.715869129,1820.05249,0.592620194,1788.849976
3,0.715081096,1811.046875,0.592559159,1791.898071
4,0.715022802,1800.408936,0.593091488,1795.676025
5,0.715686023,1788.664429,0.594094515,1800.266357
6,0.716902018,1776.314209,0.595508516,1805.732178
7,0.718262374,1763.817383,0.597151697,1812.115967
8,0.719813347,1751.557617,0.599004447,1819.414063
9,0.721605778,1739.8396,0.601071477,1827.585205
0,0.554605424,1769.926025,0.619959831,1918.843018
1,0.553019881,1769.680054,0.620147049,1925.849365
2,0.552589238,1767.731689,0.620060205,1932.194092
3,0.553209782,1764.190186,0.619832337,1937.779297
4,0.554675996,1759.221924,0.61922878,1942.564697
5,0.55709976,1753.036499,0.618368864,1946.552368
6,0.560288489,1745.859131,0.615502238,1949.769775
7,0.56419611,1737.91626,0.614790857,1952.263306
8,0.569092453,1729.43042,0.614086211,1954.079468
9,0.574558496,1720.609741,0.613420248,1955.263062
0,0.614430726,1956.876587,0.650229216,2205.707275
1,0.609775782,1959.968384,0.645577669,2204.537842
2,0.608238399,1959.328491,0.642444551,2199.97168
3,0.607653797,1955.295654,0.641184509,2192.402832
4,0.607781291,1948.321533,0.641652405,2182.357422
5,0.608452022,1938.920166,0.643773735,2170.427246
6,0.609728336,1927.632813,0.647463679,2157.225342
7,0.611416936,1914.99292,0.652434647,2143.337402
8,0.613462329,1901.504517,0.657946765,2129.291504
9,0.615867794,1887.618408,0.663054049,2115.543457
0,0.681689441,2531.62085,0.672115088,1702.203857
1,0.685671687,2506.877686,0.673118055,1691.955078
2,0.690150261,2480.494385,0.674005151,1682.391357
3,0.694721162,2453.928955,0.674571395,1674.041992
4,0.699240446,2428.365234,0.675110519,1667.255859
5,0.703174531,2404.674072,0.675840259,1662.200195
6,0.706535518,2383.428955,0.676670313,1658.911865
7,0.709077954,2364.92334,0.677724898,1657.305054
8,0.71107316,2349.223145,0.678854048,1657.193115
9,0.712610543,2336.201904,0.680048943,1658.325562
0,0.65895927,2500.371094,0.614775956,1850.020142
1,0.659803629,2500.591553,0.616041422,1853.070679
2,0.660816789,2500.899658,0.617477775,1855.937744
3,0.661971688,2500.934814,0.618998885,1858.372437
4,0.663203955,2500.435059,0.620747864,1860.214233
5,0.66448158,2499.226318,0.622508407,1861.376343
6,0.665828466,2497.204346,0.62431711,1861.834717
7,0.667258024,2494.325928,0.626156926,1861.613892
8,0.668674707,2490.603271,0.627854407,1860.77478
9,0.670117855,2486.090332,0.629448771,1859.405029
0,0.657350659,2173.987061,0.690585017,1519.344604
1,0.658456087,2171.130859,0.690587044,1517.824097
2,0.659026444,2166.226807,0.690761983,1516.017578
3,0.659286857,2159.642822,0.691039383,1514.079224
4,0.659152567,2151.768311,0.691276014,1512.172363
5,0.658599198,2142.946289,0.691773832,1510.446533
6,0.657887101,2133.579102,0.692299426,1509.040283
7,0.656959355,2124.02417,0.692955852,1508.079224
8,0.655588806,2114.533691,0.693654358,1507.660278
9,0.653890669,2105.347412,0.694270134,1507.833374
0,0.67993027,1298.353271,0.637770593,2115.862061
1,0.68209976,1285.408691,0.638630509,2118.926514
2,0.685121,1271.979126,0.639251053,2123.683838
3,0.688760042,1258.531738,0.639284253,2130.345703
4,0.692755818,1245.461426,0.638700366,2138.995361
5,0.697202563,1233.086426,0.636397958,2149.605957
6,0.701770723,1221.643188,0.632037342,2162.040039
7,0.706376791,1211.285034,0.626018584,2176.02124
8,0.710857451,1202.078369,0.620011389,2191.181885
9,0.714571118,1194.02417,0.61501801,2207.130615
0,0.560516357,2056.422363,0.613552511,1792.007446
1,0.558982313,2065.072998,0.611048043,1796.941162
2,0.558180749,2068.093018,0.609012842,1797.917725
3,0.558043778,2065.779053,0.607322872,1795.284546
4,0.558486581,2058.775391,0.606169283,1789.62085
5,0.559532344,2047.943359,0.605470121,1781.638672
6,0.561098933,2034.253662,0.605052352,1772.087158
7,0.562961817,2018.689697,0.604908586,1761.693359
8,0.56520927,2002.175171,0.605000138,1751.091553
9,0.567597806,1985.544678,0.605053008,1740.817627
0,0.442904323,1898.655518,0.571264625,2148.595459
